,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
353,Santa Isabel Rio Negro,42,BR,1652046893,95,-0.4139,-65.0192,24.59,1.31
354,Ciudad Real,29,ES,1652046894,43,39.0,-4.0,19.5,0.82
355,Kensington,75,AU,1652046894,84,-33.9167,151.2167,15.63,6.17
356,Hanmer Springs,100,NZ,1652046895,85,-42.5167,172.8167,14.1,1.34
357,Yagodnoye,32,RU,1652046895,78,62.55,149.6667,-3.22,1.48
358,San Patricio,1,US,1652046896,55,28.017,-97.5169,33.43,9.13
359,Belen,73,TR,1652046896,84,36.4891,36.2233,11.63,1.85
360,Talara,0,PE,1652046896,64,-4.5772,-81.2719,24.42,9.77
361,Paamiut,100,GL,1652046897,88,61.994,-49.6678,0.57,8.63
362,Kaitangata,89,NZ,1652046897,91,-46.2817,169.8464,11.49,1.02
363,San Cristobal,85,VE,1652046786,73,7.7669,-72.225,27.1,2.25
364,Port Lincoln,98,AU,1652046898,75,-34.7333,135.8667,14.27,3.44
365,Acurenam,100,GQ,1652046898,97,1.0322,10.6488,20.89,0.61
366,Urengoy,100,RU,1652046899,98,65.9667,78.3667,0.76,5.6
367,Maragogi,18,BR,1652046824,84,-9.0122,-35.2225,24.65,3.84
368,Bud,72,US,1652046899,42,39.447,-86.1758,21.92,5.34
369,Concordia,0,AR,1652046667,78,-31.393,-58.0209,22.04,1.54
370,Labuhan,98,ID,1652046900,88,-6.8844,112.2051,25.93,1.64
371,Shelburne,16,CA,1652046900,29,44.0787,-80.2041,16.44,4.2
372,Kajaani,0,FI,1652046900,69,64.2273,27.7285,-0.97,1.54
373,Hokitika,71,NZ,1652046901,83,-42.7167,170.9667,15.37,1.18
374,Codrington,61,AU,1652046901,90,-38.2667,141.9667,8.11,2.89
375,Bixby,40,US,1652046726,58,35.942,-95.8833,32.82,7.72
376,Qui Nhon,100,VN,1652046608,88,13.7667,109.2333,25.04,2.47
377,Vestmanna,100,FO,1652046902,100,62.1564,-7.1664,8.51,5.14
378,Valley City,40,US,1652046902,72,46.9233,-98.0032,18.29,2.06
379,Karlovo,98,BG,1652046903,79,42.6333,24.8,11.43,0.88
380,Burnie,59,AU,1652046903,73,-41.0667,145.9167,9.47,1.34
381,Mount Gambier,100,AU,1652046904,100,-37.8333,140.7667,6.95,2.06
382,San Rafael,17,AR,1652046904,27,-34.6177,-68.3301,19.83,6.55
383,Hofn,100,IS,1652046905,99,64.2539,-15.2082,7.96,3.53
384,Kisangani,81,CD,1652046906,97,0.5167,25.2,21.08,1.35
385,Knysna,64,ZA,1652046906,77,-34.0363,23.0471,13.44,1.93
386,Barabai,100,ID,1652046907,100,-2.5833,115.3833,24.05,0.71
387,Lavrentiya,100,RU,1652046907,92,65.5833,-171.0,0.71,2.47
388,Rokytne,86,UA,1652046908,92,51.2796,27.214,11.9,2.22
389,Rio Grande,0,BR,1652046908,84,-32.035,-52.0986,18.06,4.23
390,Chimbote,99,PE,1652046298,85,-9.0853,-78.5783,19.1,4.26
391,Villa Unión,83,MX,1652046909,79,23.2,-106.2333,27.79,3.88
392,Veseloyarsk,6,RU,1652046909,38,51.2836,81.1056,5.1,0.83
393,Kongolo,100,CD,1652046910,92,-5.3833,27.0,21.44,0.81
394,Roura,20,GF,1652046910,78,4.7263,-52.3274,27.76,2.06
395,Emerald,100,AU,1652046910,82,-23.5333,148.1667,16.08,5.66
396,George Town,20,MY,1652046292,93,5.4112,100.3354,27.96,2.57
397,Ilhabela,75,BR,1652046911,86,-23.7781,-45.3581,20.91,3.1
398,Russell,20,US,1652046911,41,32.3502,-85.1999,27.2,2.57
399,Tignère,11,CM,1652046912,67,7.3667,12.65,22.18,1.3
400,Arica,0,CL,1652046912,60,-18.475,-70.3042,22.75,6.17
401,Macouria,20,GF,1652046913,1,4.9167,-52.3667,27.77,2.24
402,Kamaishi,100,JP,1652046913,67,39.2667,141.8833,10.88,2.81
403,Hamilton,0,US,1652046301,47,39.1834,-84.5333,22.08,4.12
404,Atbasar,46,KZ,1652046914,44,51.8,68.3333,7.82,4.55
405,Gornyak,3,RU,1652046914,36,50.9942,81.4661,4.97,1.23
406,Nelson Bay,0,AU,1652046914,87,-32.7167,152.15,11.16,3.08
407,Chiredzi,28,ZW,1652046915,72,-21.05,31.6667,19.94,1.46
408,Antofagasta,3,CL,1652046800,84,-23.65,-70.4,17.6,3.57
409,Srednekolymsk,37,RU,1652046915,87,67.45,153.6833,0.3,3.72
410,Tuntum,94,BR,1652046916,72,-5.2581,-44.6489,25.17,0.68
411,Clyde River,100,CA,1652046916,86,70.4692,-68.5914,-1.87,0.0
412,Roald,75,NO,1652046917,71,62.5833,6.1333,10.51,6.17
413,Muriwai Beach,100,NZ,1652046917,89,-36.8167,174.45,18.26,4.83
414,Skibbereen,95,IE,1652046917,95,51.55,-9.2667,12.84,5.18
415,Östersund,0,SE,1652046748,70,63.1792,14.6357,3.25,1.54
416,North Bend,75,US,1652046918,84,43.4065,-124.2243,10.51,6.69
417,Saint-François,0,FR,1652046918,76,46.4154,3.9054,13.71,2.06
418,Vostok,83,RU,1652046919,71,46.4856,135.8833,4.78,2.14
419,Riyadh,0,SA,1652046846,23,24.6877,46.7219,25.08,4.2
420,Salalah,20,OM,1652046919,81,17.0151,54.0924,25.96,1.62
421,Rapid Valley,40,US,1652046919,26,44.0625,-103.1463,21.54,10.73
422,Cabra,99,ES,1652046920,51,37.4725,-4.4421,19.81,1.52
423,Riverside,2,US,1652046920,25,33.7333,-116.0508,29.49,7.02
424,Mwense,39,ZM,1652046921,64,-10.3845,28.698,20.5,2.11
425,Port Macquarie,0,AU,1652046635,69,-31.4333,152.9167,11.05,2.27
426,Huarmey,93,PE,1652046921,80,-10.0681,-78.1522,20.37,4.22
427,Flinders,94,AU,1652046922,87,-34.5833,150.8552,14.6,2.24
428,Curup,96,ID,1652046922,92,-3.4667,102.5333,20.6,0.34
429,Khuzhir,100,RU,1652046923,68,53.1939,107.3397,-0.33,6.16
430,Bonthe,100,SL,1652046923,84,7.5264,-12.505,25.79,2.39
431,Doha,0,QA,1652046657,32,25.2867,51.5333,28.99,7.72
432,Beyneu,100,KZ,1652046924,70,45.3167,55.2,17.29,3.65
433,Comodoro Rivadavia,20,AR,1652046667,27,-45.8667,-67.5,16.92,6.69
434,Ancud,49,CL,1652046924,87,-41.8697,-73.8203,10.84,1.74
435,Zhangye,50,CN,1652046925,36,38.9342,100.4517,15.14,3.15
436,Galway,100,IE,1652046925,90,53.2719,-9.0489,12.37,4.67
437,Tautira,58,PF,1652046926,79,-17.7333,-149.15,27.11,4.85
438,Reconquista,39,AR,1652046926,62,-29.15,-59.65,17.17,2.12
439,Nenagh,99,IE,1652046926,93,52.8619,-8.1967,12.53,4.27
440,Ennis,100,IE,1652046927,82,52.8436,-8.9864,12.96,5.14
441,Davila,93,PH,1652046927,73,18.4726,120.5763,25.99,3.12
442,Timrå,20,SE,1652046928,75,62.487,17.3257,2.82,1.03
443,Nova Gradiška,97,HR,1652046928,88,45.255,17.3831,14.94,1.23
444,Moerai,23,PF,1652046929,71,-22.4333,-151.3333,25.78,5.17
445,Buin,46,CL,1652046929,64,-33.7333,-70.75,17.81,1.63
446,Eureka,100,US,1652046930,75,40.8021,-124.1637,11.07,3.58
447,Lüderitz,60,NA,1652046930,42,-26.6481,15.1594,16.1,4.06
448,Hukuntsi,0,BW,1652046930,31,-24.0,21.75,10.75,3.63
449,Port Said,0,EG,1652046931,73,31.2565,32.2841,19.99,6.17
450,Birjand,51,IR,1652046931,34,32.8663,59.2211,21.04,1.87
451,Guadalupe y Calvo,47,MX,1652046932,14,26.1,-106.9667,23.79,6.37
452,Touros,100,BR,1652046932,84,-5.1989,-35.4608,26.19,6.15
453,Garoowe,85,SO,1652046932,65,8.4054,48.4845,27.88,5.31
454,Stykkisholmur,100,IS,1652046933,92,65.0757,-22.7297,5.97,4.67
455,Qaqortoq,91,GL,1652046933,80,60.7167,-46.0333,3.33,1.97
456,Lerwick,100,GB,1652046934,88,60.1545,-1.1494,9.0,9.59
457,Iskateley,100,RU,1652046934,94,67.6803,53.1512,-2.06,2.93
458,Richards Bay,97,ZA,1652046934,89,-28.783,32.0377,18.5,4.59
459,Old Shinyanga,88,TZ,1652046935,55,-3.55,33.4,22.51,0.87
460,Puerto Escondido,84,MX,1652046935,54,15.85,-97.0667,31.01,3.46
461,Cockburn Town,40,TC,1652046674,69,21.4612,-71.1419,27.98,2.57
462,Pacaembu,0,BR,1652046936,65,-21.5622,-51.2606,20.59,3.86
463,Eyrarbakki,100,IS,1652046936,88,63.863,-21.1481,10.03,6.36
464,Ucluelet,51,CA,1652046904,73,48.9329,-125.5528,12.27,1.79
465,Flagstaff,0,US,1652046937,16,35.1981,-111.6513,21.17,17.49
466,Bandarbeyla,14,SO,1652046937,83,9.4942,50.8122,28.04,3.89
467,Sabang,100,ID,1652046937,74,5.8933,95.3214,28.15,2.88
468,Plaridel,54,PH,1652046938,79,14.8872,120.8572,28.38,2.17
469,Nambucca Heads,5,AU,1652046938,69,-30.65,153.0,15.0,2.88
470,Upington,0,ZA,1652046939,66,-28.4478,21.2561,9.21,0.51
471,Saryagash,0,KZ,1652046939,69,41.4511,69.1701,21.8,2.98
472,Los Llanos de Aridane,0,ES,1652046939,77,28.6585,-17.9182,16.86,5.14
473,Nakhon Phanom,92,TH,1652046940,72,17.3333,104.4167,24.74,1.89
474,Raduzhny,97,RU,1652046940,93,62.0961,77.475,-1.24,2.13
475,Kwang Binh,97,VN,1652046941,92,17.4833,106.6,24.37,0.83
476,Aswān,0,EG,1652046941,14,24.0934,32.907,29.61,2.06
477,Fairview,75,US,1652046389,36,40.8126,-73.999,15.59,7.2
478,Fort Nelson,100,CA,1652046942,80,58.8053,-122.7002,1.77,8.23
479,Huilong,5,CN,1652046942,70,31.8111,121.655,16.07,5.43
480,Poya,99,NC,1652046942,60,-21.35,165.15,24.04,3.49
481,Abū Zabad,100,SD,1652046943,6,12.35,29.25,30.56,4.57
482,Chaykovskaya,8,RU,1652046943,74,58.1279,55.5378,3.94,2.01
483,Lagoa,52,PT,1652046943,83,39.05,-27.9833,16.39,4.39
484,Rawson,35,AR,1652046944,37,-43.3002,-65.1023,15.9,4.31
485,Bethel,100,US,1652046944,42,41.3712,-73.414,14.46,1.34
486,Payakumbuh,88,ID,1652046945,95,-0.2202,100.6308,20.81,1.38
487,Mazara del Vallo,27,IT,1652046945,92,37.6641,12.588,14.96,3.78
488,Dubai,0,AE,1652046334,43,25.2582,55.3047,31.96,2.06
489,Myitkyina,30,MM,1652046946,99,25.3833,97.4,21.17,0.57
490,Ambulu,94,ID,1652046946,90,-8.345,113.6058,24.48,1.28
491,Riosucio,98,CO,1652046946,84,5.4216,-75.7032,20.48,1.24
492,Muzhi,84,RU,1652046947,94,65.3667,64.6667,2.73,3.45
493,Muhos,14,FI,1652046947,76,64.808,25.9931,1.88,2.18
494,Okha,100,RU,1652046948,99,53.5739,142.9478,-0.21,5.89
495,Amuntai,100,ID,1652046948,100,-2.4177,115.2494,23.85,1.17
496,Fernie,100,CA,1652046392,87,49.5,-115.0687,10.05,2.5
497,Pochutla,58,MX,1652046949,46,15.7432,-96.4661,32.68,3.92
498,Aksu,0,CN,1652046949,31,41.1231,80.2644,21.3,1.67
499,Rāpar,0,IN,1652046949,65,23.5667,70.6333,27.4,7.36
500,Yamada,100,JP,1652046950,64,39.4667,141.95,11.2,2.26
501,Ust'-Ishim,74,RU,1652046950,70,57.6935,71.1665,7.81,1.35
502,Drumheller,73,CA,1652046373,54,51.4617,-112.7101,14.01,4.63
503,General Pico,100,AR,1652046951,50,-35.6566,-63.7568,20.29,2.3
504,Benguela,4,AO,1652046951,81,-12.5763,13.4055,23.74,0.37
505,Mol,4,BE,1652046951,74,51.192,5.1145,12.08,3.0
506,Gilgit,0,PK,1652046952,34,35.9221,74.3087,21.27,1.56
507,Lagos,21,NG,1652046564,85,6.5833,3.75,27.29,3.17
508,Meadow Lake,5,US,1652046463,11,34.8014,-106.5436,31.86,13.68
509,Vestmannaeyjar,100,IS,1652046953,94,63.4427,-20.2734,8.76,11.34
510,Snezhnogorsk,99,RU,1652046953,78,69.1933,33.2531,-1.12,2.68
511,Cascais,9,PT,1652046953,72,38.6979,-9.4215,20.92,5.59
512,Ust'-Ilimsk,17,RU,1652046954,70,58.0006,102.6619,-2.99,3.83
513,Mayo,100,US,1652046954,50,38.8876,-76.5119,13.09,3.6
514,Dargaville,90,NZ,1652046954,74,-35.9333,173.8833,17.93,3.74
515,Kunštát,27,CZ,1652046797,88,49.5065,16.5172,14.57,2.11
516,Jumla,6,NP,1652046955,83,29.2747,82.1838,10.29,1.77
517,Morozovsk,31,RU,1652046955,54,48.3539,41.8261,7.06,3.35
518,Udachny,88,RU,1652046956,91,66.4167,112.4,-11.34,4.17
519,Yanam,77,IN,1652046956,82,16.7333,82.2167,26.96,2.32
520,Ledyard Center,0,US,1652046957,35,41.4398,-72.0142,13.5,12.35
521,Mandurah,11,AU,1652046957,84,-32.55,115.7,14.94,2.56
522,Ciénaga,75,CO,1652046957,66,11.007,-74.2476,34.68,4.12
523,Nome,100,US,1652046833,93,64.5011,-165.4064,0.09,9.26
524,Champerico,67,GT,1652046958,67,14.3,-91.9167,30.3,4.42
525,Mīnāb,0,IR,1652046958,37,27.1467,57.0801,29.79,2.7
526,Dicabisagan,38,PH,1652046959,83,17.0818,122.4157,25.99,1.12
527,Dunedin,100,NZ,1652046959,85,-45.8742,170.5036,13.22,0.45
528,Crotone,87,IT,1652046959,81,39.0851,17.1178,15.11,0.25
529,Mana,51,GF,1652046960,85,5.6592,-53.7767,25.58,3.67
530,Tual,100,ID,1652046960,76,-5.6667,132.75,29.06,5.15
531,Diamantino,16,BR,1652046961,52,-14.4086,-56.4461,24.29,1.87
532,Aasiaat,6,GL,1652046961,86,68.7098,-52.8699,-4.57,2.85
533,Balkanabat,76,TM,1652046961,74,39.5108,54.3671,15.22,6.85
534,Luganville,81,VU,1652046962,70,-15.5333,167.1667,26.47,6.14
535,Mpulungu,68,ZM,1652046962,72,-8.7623,31.1141,22.56,2.51
536,Winnemucca,75,US,1652046963,31,40.973,-117.7357,9.03,6.69
537,Faya,0,SA,1652046963,56,18.3851,42.4509,19.29,0.44
538,Wajima,100,JP,1652046963,60,37.4,136.9,12.71,4.4
539,Sept-Îles,20,CA,1652046730,37,50.2001,-66.3821,9.29,7.2
540,Nagorsk,25,RU,1652046964,72,59.3172,50.8078,8.19,4.08
541,Garden City,61,US,1652046858,32,42.3256,-83.331,18.35,0.45
542,Kautokeino,95,NO,1652046964,89,69.0125,23.0412,-2.0,3.2
543,Nyurba,100,RU,1652046672,93,63.2842,118.3319,0.25,3.6
544,Balkhash,37,KZ,1652046965,33,46.844,74.9804,10.15,11.56
545,Nador,0,MA,1652046965,77,35.174,-2.9287,17.14,1.03
546,Dunda,100,TZ,1652046966,84,-8.1167,34.25,16.51,1.78
547,Cantagallo,24,CO,1652046966,68,7.376,-73.9196,34.32,1.29
548,Somerset,98,US,1652046967,39,40.5668,-74.5496,16.45,2.24
549,Haimen,100,CN,1652046967,85,23.1935,116.6142,20.94,2.68
550,Kiama,96,AU,1652046968,89,-34.6833,150.8667,14.71,2.24
551,Makokou,100,GA,1652046968,97,0.5738,12.8642,21.7,0.35
552,Ogaminana,81,NG,1652046968,76,7.5946,6.2248,26.66,4.15
553,Karratha,100,AU,1652046969,36,-20.7377,116.8463,24.01,5.93
554,Solton,99,RU,1652046969,52,52.8429,86.4787,0.92,1.62
555,Novopavlovka,100,RU,1652046970,74,51.2172,109.2091,1.72,5.41
556,Grimma,15,DE,1652046970,68,51.2333,12.7167,11.61,2.99
557,Carutapera,99,BR,1652046971,96,-1.195,-46.02,23.66,0.95
558,La Presa,75,US,1652046971,65,32.7081,-116.9973,22.24,7.72
559,Zuwārah,1,LY,1652046971,70,32.9312,12.082,17.61,3.46
560,Bariloche,20,AR,1652046972,54,-41.1456,-71.3082,10.86,9.26
561,Togur,6,RU,1652046972,58,58.3631,82.8265,-0.57,1.56
562,Sovetskiy,10,RU,1652046973,79,61.3614,63.5842,6.79,2.54
563,Lufilufi,98,WS,1652046973,71,-13.8745,-171.5986,29.88,3.97
564,Camopi,92,GF,1652046974,96,3.1655,-52.3158,23.12,0.93
565,Eyl,50,SO,1652046974,79,7.9803,49.8164,28.44,3.75
566,Jiujiang,100,CN,1652046974,85,29.7333,115.9833,20.22,4.54
567,Kavarskas,5,LT,1652046975,61,55.4333,24.9167,2.39,3.67
568,Caniço,20,PT,1652046975,71,32.6333,-16.85,17.35,6.69
569,Vila Velha,75,BR,1652046976,69,-20.3297,-40.2925,24.97,5.66
570,Talcahuano,100,CL,1652046976,94,-36.7167,-73.1167,12.82,5.14
571,Jizan,17,SA,1652046977,69,17.3333,42.6667,29.52,1.73
572,Arona,20,ES,1652046977,68,28.0996,-16.681,17.12,8.23
573,Moyale,37,KE,1652046978,73,3.5167,39.0584,20.59,2.47
574,Denpasar,40,ID,1652046978,100,-8.65,115.2167,25.81,0.51
575,Mahanoro,15,MG,1652046978,91,-19.9,48.8,22.36,2.05
576,Zapolyarnyy,91,RU,1652046979,83,69.4154,30.8136,-0.4,1.39
