,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
80,Três de Maio,0,BR,1652046791,77,-27.7733,-54.24,15.38,3.56
81,Bainbridge Island,90,US,1652046792,65,47.6262,-122.5212,14.65,4.02
82,Kruisfontein,96,ZA,1652046527,67,-34.0033,24.7314,13.01,1.79
83,Tynda,99,RU,1652046792,42,55.1667,124.7167,8.16,1.09
84,Okhotsk,24,RU,1652046792,81,59.3833,143.3,2.26,1.5
85,Kahului,40,US,1652046793,45,20.8947,-156.47,31.01,7.2
86,Arlit,99,NE,1652046793,17,18.7369,7.3853,33.96,1.63
87,Taos,0,US,1652046794,14,36.4072,-105.5731,25.55,12.86
88,Guerrero Negro,0,MX,1652046794,59,27.9769,-114.0611,19.14,9.9
89,Pisco,51,PE,1652046795,68,-13.7,-76.2167,22.03,10.8
90,Pathein,100,MM,1652046795,86,16.7833,94.7333,26.2,2.56
91,Praia,75,CV,1652046795,73,14.9215,-23.5087,22.3,7.72
92,Charlestown,25,AU,1652046516,86,-32.95,151.6667,14.5,0.89
93,Geraldton,40,AU,1652046796,87,-28.7667,114.6,12.23,2.57
94,Río Gallegos,0,AR,1652046796,57,-51.6226,-69.2181,9.03,6.69
95,Avarua,40,CK,1652046797,79,-21.2078,-159.775,30.03,3.6
96,Chenghai,75,CN,1652046797,100,23.4632,116.768,20.95,2.0
97,Hobart,0,AU,1652046030,89,-42.8794,147.3294,5.92,0.51
98,Papara,100,BR,1652046798,94,-3.9839,-38.7273,26.22,0.66
99,Iqaluit,75,CA,1652046563,63,63.7506,-68.5145,-1.15,1.03
100,Muroto-misakicho,97,JP,1652046798,72,33.2833,134.15,18.21,3.87
101,Asău,99,RO,1652046799,86,46.4333,26.4,10.71,0.96
102,Norman Wells,75,CA,1652046799,49,65.282,-126.8329,7.02,3.6
103,Qaanaaq,100,GL,1652046800,81,77.484,-69.3632,-4.22,1.38
104,Beringovskiy,40,RU,1652046800,69,63.05,179.3167,2.07,8.08
105,Naze,98,JP,1652046800,91,28.3667,129.4833,21.51,3.37
106,Ocampo,40,MX,1652046801,11,21.65,-101.5,29.9,6.46
107,Cayenne,20,GF,1652046756,1,4.9333,-52.3333,27.83,2.24
108,Vardø,75,NO,1652046802,74,70.3705,31.1107,-2.01,7.2
109,Port Alfred,99,ZA,1652046802,92,-33.5906,26.891,13.99,0.45
110,Tuatapere,100,NZ,1652046802,87,-46.1333,167.6833,11.87,1.03
111,Tuktoyaktuk,40,CA,1652046803,70,69.4541,-133.0374,5.0,5.14
